exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
baseline	val	377.66	29.15	179.7	0.3089	31154	75.6	9.49	BTC/ETH/SOL	2026-03-27	20% sizing, 15m bars, 6 coins
baseline-verify	val	377.66	29.15	179.7	0.3089	31154	75.6	9.49	BTC/ETH/SOL	2026-03-27	verify baseline before changes
exp0-3coin-weights	val	735.22	28.57	648.3	0.6491	31154	75.6	9.50	BTC/ETH/SOL	2026-03-27	fix ACTIVE_SYMBOLS to BTC/ETH/SOL, 1/3 weight each
exp1-30pct	val	1072.79	28.00	1817.7	1.0182	31154	75.6	9.47	BTC/ETH/SOL	2026-03-27	30% base sizing, 10% per coin
exp2-40pct	val	1390.49	27.43	4614.2	1.4136	31154	75.6	9.42	BTC/ETH/SOL	2026-03-27	40% base sizing, 13.3% per coin
exp3-50pct	val	1688.52	26.87	11030.4	1.8331	31154	75.6	9.37	BTC/ETH/SOL	2026-03-27	50% base sizing, 16.7% per coin
exp4-60pct	val	1967.15	26.31	25168.9	2.2741	31154	75.6	9.32	BTC/ETH/SOL	2026-03-27	60% base sizing, 20% per coin
exp5-70pct	val	2224.18	25.75	55113.7	2.7345	31154	75.6	9.28	BTC/ETH/SOL	2026-03-27	70% base sizing, 23.3% per coin
exp6-80pct	val	2461.93	25.20	116129.2	3.2120	31154	75.6	9.23	BTC/ETH/SOL	2026-03-27	80% base sizing, 26.7% per coin
exp7-90pct	val	2683.92	24.65	235843.1	3.7043	31154	75.6	9.20	BTC/ETH/SOL	2026-03-27	90% base sizing, 30% per coin
exp8-100pct	val	2884.88	24.11	462119.8	4.2094	31154	75.6	9.17	BTC/ETH/SOL	2026-03-27	100% base sizing, 33% per coin
exp9-120pct	val	3237.72	23.04	1598201.0	5.2493	31154	75.6	9.12	BTC/ETH/SOL	2026-03-27	120% base sizing (leverage), 40% per coin
exp10-150pct	val	3629.72	21.46	7955159.8	6.8531	31154	75.6	9.06	BTC/ETH/SOL	2026-03-27	150% base sizing, 50% per coin
exp11-180pct	val	3887.93	19.91	29531099.1	8.4633	31154	75.6	9.02	BTC/ETH/SOL	2026-03-27	180% base sizing, 60% per coin
exp12-200pct	val	3995.56	18.90	60237713.2	9.5159	31154	75.6	8.99	BTC/ETH/SOL	2026-03-27	200% base sizing, 67% per coin
exp13-210pct	val	-999.00	18.40	82108290.3	10.0306	31154	75.6	8.98	BTC/ETH/SOL	2026-03-27	210% base sizing, 70% per coin
exp14-205pct	val	4009.44	18.65	70597492.7	9.7744	31154	75.6	8.99	BTC/ETH/SOL	2026-03-27	205% base sizing
exp15-short4	val	-999.00	18.47	49389768.1	10.3199	31186	75.6	8.91	BTC/ETH/SOL	2026-03-27	SHORT_WINDOW=4 (200% sizing)
exp16-short8	val	4056.13	19.05	74447271.1	9.5159	31135	75.7	9.11	BTC/ETH/SOL	2026-03-27	SHORT_WINDOW=8 (200% sizing)
exp17-short10	val	-999.00	18.72	66821861.8	11.0137	31153	76.1	9.33	BTC/ETH/SOL	2026-03-27	SHORT_WINDOW=10 (200% sizing)
exp18-med8	val	4063.69	19.07	69753799.3	9.5159	30669	75.0	8.88	BTC/ETH/SOL	2026-03-27	MED_WINDOW=8, SHORT_WINDOW=8
