exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
baseline	2024-07-01_2025-03-31	541.76	25.08	445.1	3.8826	6122	68.6	4.55	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	First equity backtest: 10 ETFs, 2x leverage, 0.5bps slip, 0 fees
oos-test	2025-04-01_2026-04-10	755.21	25.90	914.1	4.0868	8430	69.5	4.36	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	OOS test: Apr 2025 - Apr 2026 (includes tariff selloff, real forward test)
train	2023-06-01_2024-06-30	751.31	30.59	786.2	1.6013	8896	68.2	4.54	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	Train period baseline for sanity check
3x-val	2024-07-01_2025-03-31	773.87	25.05	1148.5	5.8157	6122	68.6	4.58	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	3x leverage val period — target deployment config
3x-oos	2025-04-01_2026-04-10	1076.19	25.87	3039.1	6.1150	8430	69.5	4.30	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	3x leverage OOS — includes Apr 2025 tariff crash, true forward test
3x-train	2023-06-01_2024-06-30	1104.12	30.56	2488.0	2.3983	8896	68.2	4.55	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	3x leverage train period
3x-oos-pessimistic	2025-04-01_2026-04-10	972.46	23.54	2207.7	6.1774	8430	64.5	3.77	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	Pessimistic slippage test: 2 bps (4x default)
mom-0.002	2024-07-01_2025-03-31	799.09	25.70	1255.1	5.8157	6218	69.1	4.63	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	momentum threshold=0.002
mom-0.003	2024-07-01_2025-03-31	794.63	25.48	1227.4	5.8157	6196	69.0	4.59	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	momentum threshold=0.003
mom-0.004	2024-07-01_2025-03-31	786.74	25.42	1201.8	5.8157	6158	68.8	4.60	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	momentum threshold=0.004
mom-0.005	2024-07-01_2025-03-31	773.87	25.05	1148.5	5.8157	6122	68.6	4.58	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	momentum threshold=0.005
mom-0.006	2024-07-01_2025-03-31	766.07	24.98	1120.9	5.8157	6054	68.7	4.60	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	momentum threshold=0.006
mom-0.007	2024-07-01_2025-03-31	764.88	25.13	1112.6	5.8157	5969	68.8	4.70	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	momentum threshold=0.007
mom-0.008	2024-07-01_2025-03-31	747.58	24.61	1058.7	5.9582	5917	68.6	4.58	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	momentum threshold=0.008
mom-0.01	2024-07-01_2025-03-31	750.89	25.07	1067.9	5.9582	5799	68.5	4.72	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	momentum threshold=0.01
tp-0.004	2024-07-01_2025-03-31	779.63	25.64	1177.7	5.7867	6300	69.1	4.70	EEM/GLD/IWM/QQQ/SOXX/SPY/TLT/XBI/XLE/XLF	2026-04-10	take profit=0.004
