exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
baseline	val	-5.12	-4.71	-21.9	23.2447	1954	49.5	0.77	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Pairs stat arb baseline: ETH/BTC, SOL/ETH, AVAX/SOL, LINK/ETH
exp1	val	-3.59	-3.59	-7.8	8.8041	1289	47.0	0.79	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	wider entry 2.5, tighter exit 0.2, stop 3.5, size 3%, cooldown 5
exp2	val	-3.14	-3.14	-8.3	9.4246	1492	50.9	0.85	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	new pairs: BTC/ETH SOL/AVAX LINK/XRP DOGE/SUI, same params as exp1
exp3	val	-1.80	-1.80	-4.4	5.8807	650	51.2	0.87	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	lookback 72, entry 3.0, stop 4.0
exp4	val	-2.15	-2.15	-5.5	6.4983	602	47.7	0.84	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	lookback 96, entry 3.0
exp5	val	-2.59	-2.59	-6.3	7.1260	714	48.9	0.80	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	lookback 60, entry 3.0
exp6	val	-2.22	-2.22	-5.8	7.6719	826	51.5	0.86	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	lookback 72, entry 2.8
exp7	val	-1.96	-1.96	-3.3	3.6898	684	48.8	0.88	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	add max hold 24 bars, back to lookback 72 entry 3.0
exp8	val	0.20	0.20	0.2	1.1933	130	48.4	1.12	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	EMA-based z-score instead of SMA
exp9	val	-2.69	-2.69	-5.9	6.5513	322	48.1	0.69	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	EMA z-score, entry 2.5
exp10	val	0.79	0.79	0.7	1.0775	60	60.0	1.34	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	EMA z-score, entry 3.5 (more selective)
exp11	val	1.36	1.96	0.9	0.3288	24	58.3	2.22	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	EMA z-score, entry 4.0, stop 5.5
exp12	val	1.95	2.30	1.5	0.7973	36	55.6	2.66	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	8 pairs (added BTC/SOL ETH/AVAX SOL/LINK XRP/DOGE)
exp13	val	0.69	0.69	0.9	2.3165	50	56.0	1.55	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	14 pairs to boost trade count
exp14	val	1.95	2.30	1.9	1.0615	36	55.6	2.66	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	8 pairs, position size 4%
exp15	val	1.95	2.30	2.4	1.3250	36	55.6	2.65	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	8 pairs, position size 5%
exp16	val	1.86	1.86	2.2	1.3250	56	57.1	1.88	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	entry 3.75, 8 pairs, size 5%
exp17	val	1.95	2.30	1.5	0.7973	36	55.6	2.66	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	entry 4.0, cooldown 2, size 3%
