exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
baseline	val	655.65	32.73	495.3	0.4915	31528	76.4	10.69	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	20% sizing, ATR 7, TP 2%
exp0-size-025	val	811.96	32.53	814.3	0.6143	31528	76.4	10.74	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=0.25
exp1-size-030	val	965.34	32.34	1294.9	0.7371	31528	76.4	10.78	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=0.30
exp2-size-035	val	1115.82	32.14	2014.7	0.8598	31528	76.4	10.81	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=0.35
exp3-size-040	val	1263.45	31.95	3085.8	0.9825	31528	76.4	10.84	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=0.40
exp4-size-050	val	1550.35	31.56	6997.2	1.2279	31528	76.4	10.86	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=0.50
exp5-size-060	val	1826.36	31.18	15334.6	1.4731	31528	76.4	10.88	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=0.60
exp6-size-080	val	2346.96	30.43	68007.3	1.9633	31528	76.4	10.90	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=0.80
exp7-size-100	val	2824.55	29.68	275154.7	2.4530	31528	76.4	10.92	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=1.00
exp8-size-150	val	3864.45	27.89	6340755.0	3.6752	31528	76.4	10.98	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=1.50
exp9-size-200	val	4665.10	26.16	92121982.2	5.1489	31528	76.4	11.04	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=2.00
exp10-size-250	val	5253.13	24.51	885711649.7	6.7759	31528	76.4	11.08	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=2.50
exp11-size-300	val	5651.04	22.93	5852892143.2	8.4650	31528	76.4	11.10	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=3.00
exp12-size-325	val	5793.96	22.16	13175009668.1	9.3245	31528	76.4	11.10	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=3.25
exp13-size-340	val	5861.28	21.70	20572335193.0	9.8434	31528	76.4	11.10	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=3.40
exp14-size-350	val	-999.00	21.40	27234765437.7	10.1902	31528	76.4	11.10	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=3.50
exp15-size-335	val	5840.33	21.85	17792681076.7	9.6702	31528	76.4	11.10	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=3.35
exp16-size-345	val	-999.00	21.55	23708171253.3	10.0167	31528	76.4	11.10	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE_POSITION_PCT=3.45
exp17-atr5-size340	val	5712.58	21.32	13399000847.9	9.8434	31527	76.2	9.76	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	ATR_STOP_MULT=5.0, BASE_POSITION_PCT=3.40
exp18-atr6-size340	val	5831.81	21.62	18746400376.6	9.8434	31528	76.4	10.97	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	ATR_STOP_MULT=6.0, BASE_POSITION_PCT=3.40
exp19-atr8-size340	val	5885.58	21.76	22209647394.2	9.8434	31529	76.4	11.33	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	ATR_STOP_MULT=8.0, BASE_POSITION_PCT=3.40
exp20-atr9-size340	val	5885.58	21.76	22209647394.2	9.8434	31529	76.4	11.33	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	ATR_STOP_MULT=9.0, BASE_POSITION_PCT=3.40
exp21-atr10-size340	val	5885.58	21.76	22209647394.2	9.8434	31529	76.4	11.33	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	ATR_STOP_MULT=10.0, BASE_POSITION_PCT=3.40
exp22-tp15-atr8-s340	val	5921.77	22.02	24892877728.4	9.8434	31794	76.4	11.19	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TP=1.5%, ATR=8.0, SIZE=3.40
exp23-tp10-atr8-s340	val	-999.00	22.41	30699337576.3	12.4859	32499	76.6	10.65	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TP=1.0%, ATR=8.0, SIZE=3.40
exp24-tp125-atr8-s340	val	-999.00	22.32	33089444833.6	10.3162	32063	76.5	11.31	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TP=1.25%, ATR=8.0, SIZE=3.40
exp25-tp135-atr8-s340	val	-999.00	22.23	29649043776.2	10.3162	31946	76.6	11.50	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TP=1.35%, ATR=8.0, SIZE=3.40
exp26-tp14-atr8-s340	val	-999.00	22.12	26912454229.4	10.3162	31886	76.5	11.40	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TP=1.4%, ATR=8.0, SIZE=3.40
exp27-tp25-atr8-s340	val	5837.45	21.72	19083217722.6	9.8434	31423	76.4	11.04	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TP=2.5%, ATR=8.0, SIZE=3.40
exp28-s350-tp15-atr8	val	-999.00	21.72	33151573222.7	10.1902	31794	76.4	11.19	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	SIZE=3.50, TP=1.5%, ATR=8.0
exp29-4coin-s340	val	-999.00	15.53	10004033664.8	15.1412	21105	76.0	10.95	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	4 coins BTC/ETH/SOL/AVAX, SIZE=3.40, TP=1.5%, ATR=8
exp30-3coin-s340	val	-999.00	13.84	870887658.6	19.7903	15717	75.8	9.53	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	3 coins BTC/ETH/SOL, SIZE=3.40, TP=1.5%, ATR=8
exp31-8coinw-s340	val	5921.77	22.02	24892877728.4	9.8434	31794	76.4	11.19	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	8 coins configured (6 active), smaller per-coin weight, SIZE=3.40, TP=1.5%, ATR=8
