# DEPRECATED 2026-04-16: Results below produced by engine with flip-accounting bug.
# Sharpe, win rate, return, and profit factor are unreliable for strategies that
# emit sign-flip signals (most strategies). Rerun on fixed engine before trusting.
# See strategies/30m-concentrated/LIVE_RECONCILIATION.md for details.
exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
baseline	val	14.18	14.18	12.1	0.4606	9271	66.3	2.96	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	MTF fusion baseline: 1h trend filter on 30m entries, champion signal set
exp0-baseline	val	18.00	18.00	49.5	0.4962	19199	69.1	3.95	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	baseline: 6 signals (4/6), HTF 2/3, ATR 4.5, BB included
exp1-remove-bb-3of5	val	18.26	18.26	56.2	0.4962	21044	69.5	4.06	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	remove BB compression signal, 5 signals with 3/5 voting
exp2-remove-vshort-3of4	val	17.61	17.61	53.6	0.4962	20681	69.2	3.87	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	remove BB + vshort momentum, 4 signals with 3/4 voting
exp3-remove-htf-macd	val	5.23	5.23	11.7	0.8608	15337	61.8	1.68	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	remove HTF MACD, HTF filter = EMA+mom both must agree (2/2)
exp4-atr-5.5	val	21.80	21.80	74.6	0.4414	20983	71.8	6.47	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	ATR stop mult 4.5->5.5 (matching 1h champion)
exp5-atr-6.0	val	22.48	22.48	79.9	0.4414	20984	72.3	7.54	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	ATR stop mult 5.5->6.0
exp6-atr-6.5	val	22.87	22.87	82.3	0.4414	20993	72.6	8.10	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	ATR stop mult 6.0->6.5
exp7-atr-7.0	val	22.93	22.93	83.5	0.4414	20995	72.7	8.41	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	ATR stop mult 6.5->7.0
exp8-atr-8.0	val	23.16	23.16	84.9	0.4414	21006	72.8	8.79	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	ATR stop mult 7.0->8.0
exp9-atr-10.0	val	23.19	23.19	85.3	0.4414	21007	72.9	8.92	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	ATR stop mult 8.0->10.0
exp10-remove-30m-macd	val	19.57	19.57	66.4	0.4414	17980	68.6	7.01	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	remove 30m MACD, 4 signals (mom,vshort,ema,rsi) with 3/4 voting
exp11-cooldown-1	val	22.49	22.54	97.9	0.4983	27250	69.4	6.72	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	cooldown 2->1 bars
exp12-cooldown-3	val	22.47	22.47	75.7	0.5203	17525	74.8	10.40	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	cooldown 2->3 bars
exp13-htf-1of3	val	22.79	22.79	79.9	0.4315	22816	73.1	7.62	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF filter loosened: 2/3->1/3 votes
exp14-htf-3of3	val	14.91	14.91	48.7	0.6482	14558	67.6	5.64	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	HTF filter strict: 2/3->3/3 votes (all must agree)
exp15-size-0.10	val	23.10	23.15	115.8	0.5517	21007	72.9	8.97	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	position size 0.08->0.10
exp16-rsi-exit-72-28	val	23.10	23.10	93.7	0.6304	18387	76.3	12.20	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	RSI exit thresholds widened: 69/31->72/28
exp17-rsi-entry-52-48	val	23.06	23.06	84.2	0.4414	20940	72.6	8.83	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-26	RSI entry thresholds 50/50->52/48
